"ID","name","position","method","timestamp","comment"
1,"test1",1037,"./Methods/Method-GC_DoNothing.met","2021-12-24 13:35:36",NA
2,"test2",1037,"./Methods/Method-GC_DoNothing.met","2021-12-24 13:35:58",NA
